time,velocity,altitude,velocity_y,velocity_x,acceleration,downrange_distance,angle,q
0,0,0,0.065,0,10.487,0,90,0
1,1.944,0.001,1.968,0,11.068,0,90,2.314503215
2,2.877,0.003,3.871,0,11.669,0,90,5.068053534
3,5.352,0.007,5.992,0,12.158,0,90,17.5326565
4,8.23,0.014,8.549,0,12.561,0,90,41.43090492
5,11.09,0.024,11.412,0,12.803,0,90,75.16055826
6,14.427,0.037,14.54,0,12.992,0,90,127.0445322
7,17.666,0.053,17.812,0,13.11,0,90,190.191572
8,21.026,0.072,21.179,0,13.195,0,90,268.9107067
9,24.688,0.095,24.628,0,13.263,0,90,369.9345782
10,28.03,0.121,28.148,0,13.356,0,90,475.6487204
11,31.544,0.151,31.73,0,13.45,0,90,600.6475773
12,35.338,0.185,35.384,0,13.524,0,90,751.4209724
13,39.038,0.222,39.134,0,13.595,0,90,913.7251858
14,42.741,0.263,43.004,0,13.682,0,90,1090.969902
15,46.775,0.307,46.971,0,13.801,0,90,1300.970047
16,50.985,0.356,51.038,0,13.906,0,90,1538.405238
17,55.21,0.409,55.195,0,13.996,0,90,1794.701048
18,59.232,0.467,59.425,0,14.047,0,90,2054.319261
19,63.673,0.528,63.678,0,14.087,0,90,2359.766527
20,68.002,0.594,67.987,0,14.129,0,90,2674.383604
21,72.276,0.664,72.347,0,14.183,0,90,3000.537812
22,76.489,0.738,76.776,0,14.237,0,90,3336.256964
23,81.296,0.817,81.233,0,14.283,0,90,3739.790253
24,85.736,0.901,85.77,0,14.326,0,90,4125.620135
25,90.314,0.989,90.355,0,14.372,0,90,4538.632617
26,94.755,1.081,95.014,0,14.449,0,90,4950.707746
27,99.751,1.179,99.723,0,14.557,0,90,5434.195562
28,104.33,1.281,104.543,0,14.695,0,90,5884.983331
29,109.326,1.387,109.446,0,14.803,0,90,6394.104283
30,114.322,1.499,114.452,0,14.88,0,90,6914.671438
31,119.456,1.616,119.558,0,14.941,0,90,7462.446999
32,124.591,1.738,124.777,0,15.003,0,90,8019.56314
33,129.865,1.865,130.078,0,15.079,0,90,8602.619898
34,135.555,1.998,135.471,0,15.172,0,90,9248.917502
35,140.829,2.136,140.993,0,15.294,0,90,9844.633736
36,146.241,2.28,146.635,-0.192,15.433,0,90,10463.01937
37,152.197,2.429,152.342,-0.436,15.542,0,90,11162.41853
38,158.299,2.584,158.088,-0.63,15.635,-0.001,90,11886.25094
39,164.145,2.746,163.9,-0.677,15.712,-0.002,90,12571.6328
40,169.419,2.912,169.784,-0.701,15.8,-0.002,90,13165.33926
41,175.248,3.085,175.73,-0.518,15.886,-0.003,90,13839.08161
42,181.771,3.263,181.795,0.642,15.989,-0.003,90,14616.21112
43,187.979,3.448,188.038,3.194,16.125,-0.001,90,15334.31297
44,194.082,3.639,194.451,7.334,16.284,0.004,90,16023.50546
45,200.787,3.837,200.973,12.69,16.411,0.014,90,16798.52306
46,207.588,4.041,207.288,18.993,16.474,0.03,90,17573.5695
47,214.25,4.252,213.089,25.809,16.447,0.053,87.851,18306.11751
48,220.993,4.469,217.968,32.772,16.213,0.082,87.851,19030.38657
49,227.298,4.692,222.106,39.49,15.733,0.118,84.295,19657.45594
50,232.365,4.923,225.584,45.324,15.073,0.16,80.333,20038.33837
51,236.873,5.146,229.143,50.105,14.551,0.208,77.081,20327.61344
52,241.036,5.369,233.434,53.642,14.272,0.26,76.577,20543.58146
53,245.688,5.604,238.785,56.186,14.243,0.315,76.577,20800.47
54,250.387,5.853,244.477,58.018,14.33,0.372,78.498,21018.1361
55,254.664,6.1,249.972,59.92,14.473,0.431,80.629,21155.95152
56,260.186,6.37,254.64,62.748,14.641,0.492,80.353,21426.95235
57,265.46,6.626,258.682,66.576,14.762,0.557,79.389,21670.92155
58,270.593,6.886,261.864,71.243,14.851,0.626,76.269,21863.74149
59,275.622,7.143,264.98,76.154,14.901,0.7,74.638,22027.52332
60,281.14,7.412,268.433,81.059,14.938,0.778,73.586,22222.25246
61,286.832,7.698,272.48,85.629,14.925,0.862,73.623,22377.30192
62,292.384,7.969,276.825,89.878,14.899,0.949,71.565,22528.76545
63,297.935,8.262,281.685,93.93,14.88,1.041,70.854,22602.44489
64,303.636,8.551,287.382,97.692,15.004,1.137,70.499,22684.55621
65,309.803,8.771,293.406,101.225,15.167,1.236,73.382,23004.11898
66,315.285,9.139,299.412,104.567,15.398,1.339,73.078,22791.70145
67,321.666,9.45,304.533,107.895,15.536,1.446,74.786,22845.34063
68,327.769,9.761,308.83,111.114,15.61,1.555,73.964,22834.53433
69,333.88,10.069,312.562,114.167,15.569,1.668,70.864,22806.29036
70,340.53,10.392,317.251,117.123,15.55,1.783,66.661,22786.84845
71,347.22,10.699,323.217,120.29,15.665,1.902,67.17,22792.71649
72,353.621,10.937,330.095,123.849,16.008,2.024,71.137,22937.27902
73,360.228,11.383,338.162,127.946,16.679,2.15,71.067,22479.83135
74,368.554,11.736,346.541,132.599,17.594,2.28,72.516,22476.36581
75,378.3,12.082,354.856,138.02,18.524,2.416,72.152,22628.37881
76,388.259,12.422,362.025,144.406,19.063,2.557,70.92,22782.97438
77,398.725,12.779,369.036,151.798,19.354,2.705,66.112,22904.28645
78,410.097,13.184,375.983,159.868,19.528,2.861,65.324,22933.3554
79,420.457,13.558,383.69,168.369,19.819,3.025,65.5,22898.77955
80,431.56,13.931,391.867,177.076,20.019,3.198,65.332,22903.70882
81,442.663,14.332,400.955,185.777,20.184,3.379,64.793,22774.2862
82,454.599,14.757,410.618,194.169,20.322,3.569,64.352,22603.5009
83,465.98,15.18,421.027,202.263,20.534,3.767,64.671,22336.5258
84,477.639,15.596,431.002,210.292,20.737,3.974,64.661,22076.38013
85,489.853,16.042,439.55,218.594,20.907,4.188,63.826,21723.43575
86,502.622,16.502,447.75,227.121,21.018,4.411,62.886,21332.16624
87,514.836,16.957,456.777,235.949,21.137,4.642,62.552,20864.21786
88,527.328,17.408,466.284,244.971,21.298,4.883,62.099,20394.40629
